,symbol,interval,open_time,open,high,low,close,volume,turnover
2020-01-01 02:35:00,BTCUSD,1,1577838900,7160.5,7160.5,7159.5,7160,221380,30.92020182
2020-01-01 02:36:00,BTCUSD,1,1577838960,7160,7160,7159.5,7159.5,142750,19.93853827
2020-01-01 02:37:00,BTCUSD,1,1577839020,7159.5,7160,7159.5,7159.5,235714,32.92293234
2020-01-01 02:38:00,BTCUSD,1,1577839080,7159.5,7160,7159.5,7159.5,290752,40.61050102
2020-01-01 02:39:00,BTCUSD,1,1577839140,7159.5,7159.5,7159.5,7159.5,279015,38.97129677
2020-01-01 02:40:00,BTCUSD,1,1577839200,7159.5,7159.5,7159.5,7159.5,391687,54.70870858
2020-01-01 02:41:00,BTCUSD,1,1577839260,7159.5,7159.5,7159.5,7159.5,2147,0.29988127
2020-01-01 02:42:00,BTCUSD,1,1577839320,7159.5,7159.5,7159.5,7159.5,0,0
2020-01-01 02:43:00,BTCUSD,1,1577839380,7159.5,7159.5,7159,7159,568935,79.47119578
2020-01-01 02:44:00,BTCUSD,1,1577839440,7159,7159,7159,7159,362858,50.68557053
2020-01-01 02:45:00,BTCUSD,1,1577839500,7159,7159.5,7157,7157,288598,40.31593847
2020-01-01 02:46:00,BTCUSD,1,1577839560,7157,7157.5,7157,7157.5,2920,0.40796776
2020-01-01 02:47:00,BTCUSD,1,1577839620,7157.5,7157.5,7157,7157,36238,5.06326337
2020-01-01 02:48:00,BTCUSD,1,1577839680,7157,7157,7157,7157,2130,0.29761072
2020-01-01 02:49:00,BTCUSD,1,1577839740,7157,7157.5,7157,7157,14242,1.98992122
2020-01-01 02:50:00,BTCUSD,1,1577839800,7157,7157.5,7157,7157.5,296185,41.38381043
2020-01-01 02:51:00,BTCUSD,1,1577839860,7157.5,7157.5,7157,7157,86381,12.06944238
2020-01-01 02:52:00,BTCUSD,1,1577839920,7157,7157,7155,7155,358581,50.10686911
2020-01-01 02:53:00,BTCUSD,1,1577839980,7155,7155.5,7155,7155,438368,61.26736031
2020-01-01 02:54:00,BTCUSD,1,1577840040,7155,7155.5,7155,7155,334396,46.73598285
2020-01-01 02:55:00,BTCUSD,1,1577840100,7155,7155,7155,7155,335456,46.88413687
2020-01-01 02:56:00,BTCUSD,1,1577840160,7155,7155,7155,7155,19638,2.74465403
2020-01-01 02:57:00,BTCUSD,1,1577840220,7155,7155,7155,7155,213239,29.80279517
2020-01-01 02:58:00,BTCUSD,1,1577840280,7155,7155.5,7155,7155,36391,5.08599512
2020-01-01 02:59:00,BTCUSD,1,1577840340,7155,7155.5,7154.5,7154.5,67521,9.43697075
2020-01-01 03:00:00,BTCUSD,1,1577840400,7154.5,7155,7154.5,7154.5,481941,67.36193265
2020-01-01 03:01:00,BTCUSD,1,1577840460,7154.5,7155,7154.5,7154.5,317797,44.41876324
2020-01-01 03:02:00,BTCUSD,1,1577840520,7154.5,7157.5,7154.5,7157.5,956546,133.67779361
2020-01-01 03:03:00,BTCUSD,1,1577840580,7157.5,7157.5,7157,7157.5,251580,35.14916495
2020-01-01 03:04:00,BTCUSD,1,1577840640,7157.5,7157.5,7157.5,7157.5,81704,11.41515889
2020-01-01 03:05:00,BTCUSD,1,1577840700,7157.5,7159,7157,7159,221232,30.90350474
2020-01-01 03:06:00,BTCUSD,1,1577840760,7159,7162.5,7158.5,7162.5,271948,37.9741556
2020-01-01 03:07:00,BTCUSD,1,1577840820,7162.5,7164,7162.5,7164,335291,46.80737677
2020-01-01 03:08:00,BTCUSD,1,1577840880,7164,7164,7164,7164,90228,12.59463984
2020-01-01 03:09:00,BTCUSD,1,1577840940,7164,7164,7163.5,7164,181834,25.38163521
2020-01-01 03:10:00,BTCUSD,1,1577841000,7164,7164,7163.5,7163.5,75783,10.57831789
2020-01-01 03:11:00,BTCUSD,1,1577841060,7163.5,7165,7163.5,7165,97687,13.63440269
2020-01-01 03:12:00,BTCUSD,1,1577841120,7165,7166,7164.5,7166,7396,1.03218302
2020-01-01 03:13:00,BTCUSD,1,1577841180,7166,7167,7166,7167,30420,4.24445849
2020-01-01 03:14:00,BTCUSD,1,1577841240,7167,7167,7166.5,7166.5,20020,2.79355137
2020-01-01 03:15:00,BTCUSD,1,1577841300,7166.5,7167,7166.5,7167,37490,5.23092207
2020-01-01 03:16:00,BTCUSD,1,1577841360,7167,7167,7167,7167,339,0.04730011
2020-01-01 03:17:00,BTCUSD,1,1577841420,7167,7167,7167,7167,11088,1.54709082
2020-01-01 03:18:00,BTCUSD,1,1577841480,7167,7167,7167,7167,2590,0.36137854
2020-01-01 03:19:00,BTCUSD,1,1577841540,7167,7167,7166.5,7166.5,4547,0.63444092
